,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
800.2,0.0011,0.0001,-0.0006,0.0006,0.0006,-0.0004
799.3,0.0006,-0.0002,-0.0012,0.0005,0.0003,-0.0003
798.5,0.0000,-0.0003,-0.0013,0.0004,0.0009,0.0000
797.6,-0.0004,-0.0004,-0.0009,0.0002,0.0008,-0.0000
796.7,-0.0001,-0.0009,-0.0011,0.0000,0.0001,-0.0001
795.9,-0.0001,-0.0010,-0.0008,0.0002,-0.0003,-0.0004
795.0,0.0002,-0.0014,-0.0003,0.0007,0.0001,-0.0008
794.2,0.0004,-0.0011,-0.0003,0.0002,-0.0002,-0.0004
793.3,0.0007,-0.0010,0.0003,0.0001,-0.0003,-0.0004
792.5,0.0013,-0.0013,0.0006,0.0001,-0.0011,-0.0005
791.6,0.0018,-0.0010,0.0008,-0.0000,-0.0012,-0.0008
790.8,0.0014,-0.0002,0.0007,0.0004,-0.0010,-0.0009
789.9,0.0013,-0.0006,0.0007,0.0002,-0.0009,-0.0008
789.1,0.0014,-0.0003,0.0004,-0.0008,-0.0009,-0.0008
788.2,0.0010,-0.0003,0.0006,-0.0003,-0.0007,-0.0009
787.4,0.0006,-0.0001,0.0000,-0.0002,-0.0006,-0.0010
786.5,0.0009,-0.0001,0.0001,-0.0003,-0.0001,-0.0009
785.7,0.0005,-0.0001,0.0001,-0.0001,0.0000,-0.0008
784.8,0.0005,-0.0002,0.0001,-0.0004,-0.0003,-0.0005
783.9,0.0006,0.0002,0.0003,-0.0004,0.0000,-0.0005
783.1,0.0001,0.0000,0.0003,-0.0004,0.0003,-0.0004
782.2,0.0004,0.0004,0.0005,-0.0003,0.0001,-0.0010
781.4,0.0005,0.0005,0.0004,0.0001,0.0003,-0.0008
780.5,0.0004,0.0005,0.0002,0.0003,0.0000,-0.0008
779.7,0.0003,0.0003,-0.0000,0.0006,-0.0001,-0.0007
778.8,-0.0001,-0.0001,0.0001,0.0004,0.0005,-0.0006
778.0,-0.0002,-0.0002,-0.0006,0.0006,0.0000,-0.0004
777.1,0.0004,-0.0000,-0.0006,0.0011,0.0000,0.0000
776.3,0.0001,-0.0003,-0.0003,0.0007,0.0002,0.0001
775.4,-0.0000,-0.0007,0.0000,0.0001,0.0003,-0.0001
774.6,0.0001,-0.0010,0.0004,-0.0000,0.0004,-0.0003
773.7,-0.0001,-0.0012,0.0002,-0.0001,0.0003,-0.0002
772.9,0.0004,-0.0010,0.0001,-0.0002,0.0001,-0.0003
772.0,0.0004,-0.0008,0.0003,-0.0006,0.0002,-0.0005
771.1,0.0002,-0.0010,0.0002,-0.0005,0.0000,-0.0009
770.3,0.0004,-0.0008,0.0001,-0.0004,-0.0001,-0.0005
769.4,0.0003,-0.0004,-0.0003,0.0000,-0.0002,-0.0004
768.6,-0.0002,-0.0000,-0.0003,0.0002,0.0000,-0.0004
767.7,-0.0002,0.0005,0.0003,-0.0001,0.0001,-0.0004
766.9,-0.0003,0.0003,0.0004,-0.0001,0.0001,-0.0003
766.0,0.0000,0.0004,0.0003,0.0001,0.0004,-0.0003
765.2,-0.0001,0.0005,0.0006,0.0001,0.0004,-0.0002
764.3,-0.0002,0.0006,0.0005,0.0001,0.0002,0.0000
