Results using the first calibration curve,,,,,,,,,,,,,,
No. ,Injection Name,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Area ,Area ,Area ,Area ,Area 
,,,,,,,,,,µRIU*min,µRIU*min,µRIU*min,µRIU*min,µRIU*min
,,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1,RI_1
,,Glucose,Xylose,Arabinose,Ethanol,Cellobiose,Lactic acid,Acetic acid,Glycerol,Glucose,Xylose,Cellobiose,Arabinose,Ethanol
1,Blank,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Blank,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,"STD (0.3125 g/L glul) ; (0.156 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",0.3017828557,0.360407806,n.a.,n.a.,0.1491507476,n.a.,0.4463959339,n.a.,1.540365132,0.7957068572,0.7877255969,0.7452368516,n.a.
4,"STD (0.3125 g/L glul) ; (0.156 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",0.3017330015,0.3599738615,n.a.,n.a.,0.1491544814,n.a.,0.5175228181,n.a.,1.540127378,0.7938244295,0.7877439295,0.7439360686,n.a.
5,"STD (0.625 g/L glul) ; (0.3125 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",0.6106833185,0.5324867819,n.a.,n.a.,0.3023874961,n.a.,0.682644911,n.a.,3.013509152,1.5421761,1.54011911,1.43065083,n.a.
6,"STD (1.25 g/L glul) ; (0.625 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",1.247339109,0.8907721011,0.4340887237,n.a.,0.62327314,0.4406899704,1.050156651,n.a.,6.049715904,3.096398339,3.115669878,2.85442746,n.a.
7,"STD (2.5 g/L glul) ; (1.25 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",2.531489456,1.606947912,1.820607422,n.a.,1.264865312,1.865070005,1.707032312,n.a.,12.1738194,6.203130076,6.265891954,5.674593825,n.a.
8,"STD (5 g/L glul) ; (2.5 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",5.005127212,2.990749872,4.513356607,n.a.,2.491019993,4.623686943,3.111759141,n.a.,23.97057955,12.20598776,12.28632006,11.15162107,n.a.
9,"STD (10 g/L glul) ; (5 g/L Xyl, arab, cellob, ethanol, acetic ac, lactic ac) ",9.991127903,5.772303719,9.899146037,n.a.,5.000299577,9.964724573,5.753925836,n.a.,47.74877993,24.27221714,24.60690047,22.10626757,n.a.
10,"STD 10 g/L ethanol, 5 g/Lglycerol",n.a.,n.a.,n.a.,10.06433727,n.a.,n.a.,0.2586473429,4.989791208,n.a.,n.a.,n.a.,n.a.,20.99150616
11,"STD 10 g/L ethanol, 5 g/Lglycerol",n.a.,n.a.,n.a.,10.00221367,n.a.,n.a.,n.a.,4.983241376,n.a.,n.a.,n.a.,0.005086423214,20.86427008
12,"STD 5 g/L ethanol, 2.5 g/Lglycerol",n.a.,0.1777657518,n.a.,4.972664385,n.a.,n.a.,0.4436816954,2.529827604,n.a.,0.003415554438,n.a.,n.a.,10.56319186
13,"STD 2.5 g/L ethanol, 1.25 g/Lglycerol",n.a.,n.a.,n.a.,2.56651118,n.a.,n.a.,0.314276635,1.26041786,n.a.,n.a.,n.a.,n.a.,5.635121577
