CEC_04_Fermentation,,,,,,,,,,,
,,,,,,,,,,,
"Summary: validation of the condition 1 and 2 from CEC_03 run (supplementation 1, batch CEC_A2)",,,,,,,,,,,
,,,,,,,,,,,
Substrate,hydrolysate CEC_A2,,,,,,,,,,
Strain,NS 22273,,,,,,,,,,
Temp.,30 °C,,,,,,,,,,
pH,~5,,,,,,,,,,
agitation,80 rpm flasks and 300 rpm 2L reactor,,,,,,,,,,
Antibiotic,10 mL/L,penicilin/streptomycin,,,,,,,,,
,,,,,,,,,,,
Seed 1,Media,Antibiotic,,,,,,,,,
1,YPD + 10 g/L xylose ,Yes,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed 2,Media,Antibiotic,,,,,,,,,
2.1,YPD:HYD (50:50),Yes,,,,,,,,,
,,,,,,,,,,,
Supplementation,KCl (g/L),MgSO4.7H2O (g/L),Yeast extract (g/L),KH2PO4 (g/L),,,,,,,
1,0.2,3.8,10,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2L sartorius conditions,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reactor,Batch Volume ,Fermentation type,Inoculum , pO2,Air Flow* ,Agitation*,pH,Temp. ,Comments,,
,,,,,,,,,,,
A5   ,T: 800 mL (720 mL unfiltered hydrolysate + 80 mL inoculum),Batch (no feed),10% (v/v),no air sparging,,300 rpm%,no pH control,30 °C,Media: unfiltered hydrolysate form batch A2                                                                                                                                                   Suplementation:                                                                                                  0.2 g/L KCl; 3.8 g/L MgSO4.7H2O; 10 g/L yeast extract; 1 g/L KH2PO4                                                                                Antibiotic: 5 mL/L Penicillin/Streptomycin                                                      ,,
A6       ,T: 800 mL (720 mL unfiltered hydrolysate + 80 mL inoculum),Batch (no feed),10% (v/v),no air sparging,,300 rpm%,no pH control,30 °C,Media: unfiltered hydrolysate form batch A2                                                                                                                                                   Suplementation:                                                                                                  0.2 g/L KCl; 3.8 g/L MgSO4.7H2O; 10 g/L yeast extract; 1 g/L KH2PO4                                                                                Antibiotic: 5 mL/L Penicillin/Streptomycin                                                            ,,
