,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flask,Time,OD,Glucose,,Xylose,Ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,600nm,g/L,,g/L,g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,0,,2.720042024,7.576712879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed 2,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Flask,Time,OD,Glucose,,Xylose,Ethanol,,,,,5,,0.208333333333333,,,,,,,,,,,,,,,,,,,,,,,
,h,600nm,g/L,,g/L,g/L,,,,,22,,0.916666666666667,,,,,,,,,,,,,,,,,,,,,,,
S2.1,0,,29.42180002,,16.98145638,1.671173998,,,,,27,,1.125,,,,,,,,,,,,,,,,,,,,,,,
S2.2,0,,29.54602157,,17.03466235,1.710709779,,,,,50,,2.08333333333333,,,,,,,,,,,,,,,,,,,,,,,
S2 merged,24,,0.2499112874,,8.253388521,9.113298059,,,,,74,,3.08333333333333,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,96,,4,,,,,,,,,,,,,,,,,,,,,,,
Flask experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Glucose,,,,Xylose,,,,Ethanol,,,,Cellobiose,,,Arabinose,,,Acetic acid,,,Lactic acid,,,Glycerol,,,YP/S,,,QP,,,FE,,
h,g/L,,,,g/L,,,,g/L,,,,g/L,,,g/L,,,g/L,,,g/L,,,g/L,,,g/g,,,g/L.h,,,%,,
,F1,F2,Average,SD,F1,F2,Average,SD,F1,F2,Average,SD,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average
0,42.029,41.275,41.652,0.377,22.360,21.994,22.177,0.183,0.149,0.003,0.076,0.073,3.463,3.301,3.382,0.000,0.000,0.000,11.385,11.172,11.278,0.000,0.000,0.000,0.972,0.923,0.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,39.102,37.898,38.500,0.602,21.966,21.533,21.750,0.217,0.826,1.140,0.983,0.157,3.441,3.330,3.385,0.000,0.000,0.000,11.466,11.005,11.236,0.000,0.000,0.000,1.170,1.142,1.156,0.204,0.296,0.250,0.135,0.228,0.182,39.927,58.014,48.970
22,5.073,6.867,5.970,0.897,19.729,19.699,19.714,0.015,16.193,14.847,15.520,0.673,3.461,3.336,3.398,0.000,0.000,0.000,10.843,10.721,10.782,0.000,0.000,0.000,5.078,4.633,4.855,0.405,0.404,0.405,0.729,0.675,0.702,79.314,79.149,79.232
27,1.769,3.643,2.706,0.937,15.911,16.551,16.231,0.320,19.142,18.047,18.595,0.548,3.565,3.444,3.505,0.000,0.000,0.000,11.120,10.903,11.011,0.000,0.000,0.000,5.636,5.210,5.423,0.407,0.419,0.413,0.703,0.668,0.686,79.575,81.978,80.777
50,0.214,0.191,0.203,0.012,11.055,11.798,11.427,0.371,20.822,20.996,20.909,0.087,3.542,3.525,3.533,0.000,0.000,0.000,11.120,11.172,11.146,0.000,0.000,0.000,5.741,5.538,5.640,0.389,0.409,0.399,0.413,0.420,0.417,76.161,80.113,78.137
74,0.089,0.121,0.105,0.016,9.195,9.947,9.571,0.376,21.513,21.588,21.551,0.037,3.421,3.470,3.445,0.000,0.000,0.000,11.002,11.217,11.109,0.000,0.000,0.000,5.540,5.444,5.492,0.388,0.406,0.397,0.289,0.292,0.290,75.871,79.400,77.635
96,0.158,0.155,0.156,0.002,8.523,9.105,8.814,0.291,22.194,21.897,22.046,0.148,3.460,3.359,3.410,0.000,0.000,0.000,11.051,10.859,10.955,0.000,0.000,0.000,5.651,5.301,5.476,0.396,0.405,0.401,0.230,0.228,0.229,77.441,79.332,78.386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioreactor experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Glucose,,,,Xylose,,,,Ethanol,,,,Cellobiose,,,Arabinose,,,Acetic acid,,,Lactic acid,,,Glycerol,,,YP/S,,,QP,,,FE,,
h,g/L,,,,g/L,,,,g/L,,,,g/L,,,g/L,,,g/L,,,g/L,,,g/L,,,g/g,,,g/L.h,,,%,,
,A5,A6,Average,SD,A5,A6,Average,SD,A5,A6,Average,SD,A5,A6,Average,A5,A6,Average,A5,A6,Average,A5,A6,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average,F1,F2,Average
0,40.365,39.915,40.140,0.225,21.620,21.409,21.515,0.106,0.125,0.471,0.298,0.173,3.326,3.198,3.262,0.000,0.000,0.000,11.225,10.866,11.046,0.000,0.000,0.000,0.985,0.928,0.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,36.249,36.650,36.449,0.201,21.122,21.444,21.283,0.161,1.496,1.435,1.466,0.030,3.253,3.344,3.299,0.000,0.000,0.000,11.144,11.043,11.094,0.000,0.000,0.000,1.282,1.304,1.293,0.297,0.298,0.298,0.274,0.193,0.233,58.144,58.400,58.272
22,0.326,0.356,0.341,0.015,12.469,12.453,12.461,0.008,19.598,19.282,19.440,0.158,3.473,3.418,3.445,0.000,0.000,0.000,10.801,10.702,10.751,0.000,0.000,0.000,5.706,5.577,5.641,0.396,0.388,0.392,0.885,0.855,0.870,77.469,75.877,76.673
27,0.187,0.205,0.196,0.009,11.011,11.254,11.133,0.122,19.789,19.860,19.825,0.035,3.335,3.435,3.385,0.000,0.000,0.000,10.647,10.792,10.719,0.000,0.000,0.000,5.575,5.778,5.676,0.387,0.389,0.388,0.728,0.718,0.723,75.771,76.093,75.932
50,0.146,0.153,0.150,0.003,8.296,8.404,8.350,0.054,20.766,20.246,20.506,0.260,3.420,3.399,3.409,0.000,0.000,0.000,10.688,10.676,10.682,0.000,0.000,0.000,5.736,5.727,5.732,0.386,0.375,0.380,0.413,0.396,0.404,75.443,73.339,74.391
74,0.124,0.163,0.143,0.020,6.182,6.421,6.301,0.119,21.750,21.777,21.764,0.014,3.238,3.340,3.289,0.000,0.000,0.000,10.375,10.672,10.523,0.000,0.000,0.000,5.453,5.637,5.545,0.388,0.389,0.389,0.292,0.288,0.290,76.004,76.169,76.087
