filename,category,organism,cfu,label,donor_id,experiment_date,timepoint_hours,n_wl,wl_min,wl_max,abs_min,abs_max,abs_mean
20230215_PBSspiked_LZD9P6_D3_30%_1,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4037057401176614,0.9039419499823386,-4.1123296759385274e-16
20230321_PBSspiked_LZD7P4_D5_60%_3,sterile,PBS control,0,0.0,D5,20230321,,419,237.4410706,300.1396484,-0.4273586252143198,0.9469270879190136,5.935321181766947e-17
20230215_PBSspiked_LZD9P4_D5_50%,sterile,PBS control,0,0.0,D5,20230215,,419,237.4571838,300.1626587,-0.4131736565050918,0.9116150776615748,-4.239515129833533e-16
20230208_PBSspiked_LZD5P6_D5_50%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4164190154001592,0.932256916299841,-1.2294593876517246e-16
20230214_PBSspiked_LZD9P2_D3_20%_2,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4017934488122513,0.9090725344877486,1.1870642363533893e-16
20230209_PBSspiked_LZD6P4_D2_20%_3,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4383619536225137,0.9835949927441529,2.54370907790012e-16
20230213_PBSspiked_LZD8P4_D2_20%_3,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4397581286334127,0.9948713715332536,1.9925721110217606e-16
20230209_PBSspiked_LZD6P4_D4_50%_3,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4302695638657917,0.9754599585342084,-1.9925721110217606e-16
20230209_PBSspiked_LZD6P4_D3_40%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.407579482449244,0.9268587969174226,2.416523624005114e-16
20230215_PBSspiked_LZD9P6_D4_50%_3,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4362958901465391,0.9926696832534608,2.925265439585138e-16
20230221_PBSspiked_LZD1P2_D3_30%_2,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4359961251259351,0.9659343810740648,-3.052450893480144e-16
20230210_PBSspiked_LZD6P6_D5_50%_3,sterile,PBS control,0,0.0,D5,20230210,,419,237.439743,300.1523438,-0.4284219050005566,0.97631594986611,2.162152716215102e-16
20230208_PBSspiked_LZD5P4_D6_70%_2,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.3905913227116152,0.8854283946217179,-2.798079985690132e-16
20230221_PBSspiked_LZD1P2_D4_40%,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4352734090918058,0.9583338450415274,8.479030259667066e-17
20230209_PBSspiked_LZD6P4_D4_50%_2,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4252041835779629,0.9707034517553704,4.0275393733418565e-16
20230410_PBSspiked_LZD7P6_D2_30%_2,sterile,PBS control,0,0.0,Unknown,20230410,,419,237.4662628,300.1254272,-0.4342260635783611,0.9694291326883054,5.935321181766947e-17
20230214_PBSspiked_LZD9P2_D3_20%_1,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4001281591353223,0.8989412450980112,-5.935321181766947e-17
20230216_PBSspiked_LZD10P2_D7_80%,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.4200213634497219,0.928884755950278,-4.324305432430204e-16
20230216_PBSspiked_LZD10P2_D4_40%_1,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.400312035757598,0.8980224536757353,-5.850530879170276e-16
20230213_PBSspiked_LZD8P2_D4_30%_3,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4330834440880673,0.9709925859119326,-4.45149088632521e-16
20230223_PBSspiked_LZD7P2_D2_20%_2,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.4328990194960224,0.9799386201706444,-1.0598787824583833e-16
20230217_PBSspiked_LZD10P6_D3_30%_2,sterile,PBS control,0,0.0,Unknown,20230217,,419,237.4504242,300.1421814,-0.4358746415631667,0.9968866800035,-3.7731684655518446e-16
20230209_PBSspiked_LZD6P2_D5_50%_2,sterile,PBS control,0,0.0,D5,20230209,,419,237.4351044,300.1477051,-0.4257463435132856,0.9695783534533812,-1.144669085055054e-16
20230223_PBSspiked_LZD7P2_D3_30%_3,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.433472661795545,0.9976955217377884,-4.239515129833533e-17
20230411_PBSspiked_LZD1P4_D4_40%_1,sterile,PBS control,0,0.0,Unknown,20230411,,419,237.43573,300.1345825,-0.4337730845194908,0.994518698580509,5.08741815580024e-17
20230209_PBSspiked_LZD6P4_D3_40%,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4085956977954652,0.919734287404535,1.1022739337567186e-16
